2000K	plataforma CMEF
2015	isotérmico RFFSA
2016	isotérmico EFCB
2016	isotérmico EFCB
2016	isotérmico EFCB
2017	vagão fechado RFFSA
2020	gôndola minério Cosipa
2020	gôndola minério Cosipa
2020	gôndola minério Cosipa
2020	gôndola minério Cosipa
2025	gôndola RFFSA
2025	gôndola RFFSA
2025	gôndola RFFSA
2028	tanque amônia Nitrofértil
2028	tanque amônia Nitrofértil
2028	tanque amônia Nitrofértil
2033	plataforma RFFSA
2033	plataforma RFFSA
2037	tanque PETROBRAS
2037	tanque PETROBRAS
2037	tanque PETROBRAS
2037	tanque PETROBRAS
2045	tanque cimento CIMINAS
2045	tanque cimento CIMINAS
2045	tanque cimento CIMINAS
2045	tanque cimento CIMINAS
2045	tanque cimento CIMINAS
2045	tanque cimento CIMINAS
2046	hopper fechado FEPASA
2048	hopper fechado RFFSA
2048	hopper fechado RFFSA
2069	tanque TSD FEPASA
2069	tanque TSD FEPASA
2071	tanque TCD VLi
2071	tanque TCD VLi
2071	tanque TCD VLi
2076	tanque TCD preto RFFSA
2076	tanque TCD preto RFFSA
2076	tanque TCD preto RFFSA
2076	tanque TCD preto RFFSA
2076	tanque TCD preto RFFSA
2083	plataforma MRS
2091	gôndola GDE Vale
2091	gôndola GDE Vale
2091	gôndola GDE Vale
2091	gôndola GDE Vale
2091	gôndola GDE Vale
2099	tanque TNS MRS
2100	gôndola GHS RFFSA
2100	gôndola GHS RFFSA
2101	gôndola GHS MRS
2101	gôndola GHS MRS
2101	gôndola GHS MRS
2106	sliding door FEPASA
2106	sliding door FEPASA
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2112	PRT Brado
2316	reboque CPTM SIEMENS
2316	reboque CPTM SIEMENS
2318	reboque CPTM
2318	reboque CPTM
2318	reboque CPTM
2400	limpa trilhos Frateschi
2440	correio/bagagem CPEF
2440	correio/bagagem CPEF
2441	1ª classe CPEF
2442	2ª classe CPEF
2443	restaurante CPEF
2444	Pullman CPEF
2444	Pullman CPEF
2480	bagageiro aço-C RFFSA BHTE
2481	1ª classe aço-C RFFSA BHTE
2482	2ª classe aço-C RFFSA BHTE
2482	2ª classe aço-C RFFSA BHTE
2482	2ª classe aço-C RFFSA BHTE
2482	2ª classe aço-C RFFSA BHTE
2497	bagageiro antigo EFS
2498	1ª classe antigo EFS
2499	2ª classe antigo EFS
2499	2ª classe antigo EFS
2502	restaurante inox RFFSA
2519	2ª classe FEPASA "Ave Maria"
2519	2ª classe FEPASA "Ave Maria"
2519	2ª classe FEPASA "Ave Maria"
2520	restaurante FEPASA "Ave Maria"
3014	G12 CVRD
3036	U20C VLI
3037	U5B RFFSA
3050	V8 CPEF
3059	V8 FEPASA (fase III)
3074	AC44i ALL
3075	AC44i VLi
3075	AC44i VLi
3077	AC44i Brado
3083	RSC-3 CPEF
3083	RSC-3 CPEF
3084	RSC-3 FEPASA
3087	RSC-3 CIMINAS
code	descr
